"firm","labeler_code"
"CEPHAZONE PHARMA",NA
"ACS DOBFAR",NA
"MEDIMETRIKS PHARMS","43538"
"YUNG SHIN PHARM",NA
"LUPIN PHARMS","27437"
"AUROBINDO PHARMA USA","59651"
"CIPLA LTD","69097"
"EXTROVIS",NA
"ACTAVIS TOTOWA","00228"
"ONESOURCE SPECIALTY","83270"
"ACS DOBFAR SPA",NA
"BEDFORD","23650"
"ABON PHARMS LLC","42239"
"BARR LABS INC",NA
"EUGIA PHARMA SPECLTS","55150"
"ALKEM LABS LTD",NA
"GLAND PHARMA LTD","68083"
"WATSON LABS",NA
"PAR PHARM","43136"
"PERRIGO","00113"
"CSPC OUYI","24075"
"DR REDDYS LABS LTD","43598"
"DASH PHARMS NATCO",NA
"ACTAVIS LABS FL INC","00228"
"BARR",NA
"ACTAVIS MID ATLANTIC","00228"
"INTL MEDICATED",NA
"INGENUS PHARMS LLC","50742"
"MYLAN TECHNOLOGIES","00378"
"HERITAGE PHARMA AVET","14539"
"DR REDDYS","43598"
"NATCO PHARMA","63850"
"DASH PHARMS",NA
"IMPAX PHARMS",NA
"WEST-WARD PHARMS INT","54832"
"NATCO","63850"
"ACELLA PHARMS LLC","42192"
"SENTISS",NA
"RHODES PHARMS","42858"
"SUNSTAR AMERICAS",NA
"DR REDDYS LABS INC","43598"
"ROXANE",NA
"ENCUBE","21922"
"BARR LABS",NA
"TARO PHARM INDS",NA
"ACTAVIS LABS FL","00228"
"AMPHASTAR PHARM","00548"
"WATSON LABS TEVA",NA
"ELITE LABS INC","64850"
"ACTAVIS LABS UT INC","00228"
"COREPHARMA",NA
"ZYDUS PHARMS","49315"
"MERCK KGAA","00006"
"NOSTRUM PHARMS LLC","29033"
"NOVITIUM PHARMA",NA
"VISTA PHARMS","61971"
"PHARMACO",NA
"GRAVITI PHARMS",NA
"THINQ PHARM-CRO PVT",NA
"PERRIGO R AND D","00113"
"LAVIPHARM LABS",NA
"ZYDUS LIFESCIENCES","49315"
"LANDELA PHARM",NA
"FOSUN WANBANG","72266"
"SAGENT PHARMS","25021"
"ZYDUS","49315"
"PLIVA HRVATSKA DOO",NA
"NATCO PHARMA LTD","63850"
"GLENMARK PHARMS INC","68462"
"WOODWARD",NA
"WATSON LABS FLORIDA",NA
"ACME LABS","00924"
"ARCO PHARMS LLC",NA
"EXELA PHARMA SCIENCE","51754"
"AMPHASTAR PHARMS INC","00548"
"GEDEON RICHTER USA",NA
"GLENMARK PHARMS LTD","68462"
"FDC LTD",NA
"TORRENT PHARMS","13668"
"ECR PHARMA",NA
"IVAX PHARMS INC",NA
"CHARTWELL MOLECULES","62135"
"EXELA PHARMA","51754"
"P AND L DEV LLC",NA
"GENPHARM",NA
"PLIVA LACHEMA",NA
"AREVA PHARMS","59923"
"UNIQUE",NA
"DIFGEN PHARMS",NA
"OHM LABS INC","26550"
"IVAX PHARMS",NA
"RUBICON RESEARCH","85612"
"YABAO PHARM","51990"
"GLAXOSMITHKLINE CONS","00173"
"WOCKHARDT LTD","64679"
"SUN PHARMA GLOBAL","43695"
"NEXGEN PHARMA INC",NA
"SANKALP LIFECARE",NA
"NOVEN","68968"
"RATIOPHARM",NA
"MIRROR PHARMS",NA
"MALLINCKRODT","43825"
"PROVIDENT PHARM",NA
"TEYRO LABS","82511"
"PADDOCK LLC",NA
"CARLSBAD","61442"
"ACTAVIS TOTOWA TEVA","00228"
"EMED MEDCL",NA
"PURACAP PHARM","24658"
"PLD ACQUISITIONS","63548"
"IMPAX",NA
"HH AND P",NA
"KUDCO IRELAND",NA
"TARO PHARMS IRELAND",NA
"CR DOUBLE CRANE",NA
"ANCHEN PHARMS",NA
"LUITPOLD",NA
"ORBION PHARMS",NA
"FRESENIUS MEDCL","18124"
"ALTAIRE PHARMS INC","59390"
"INFORLIFE",NA
"INVATECH","57631"
"SVC PHARMA",NA
"MN PHARMS",NA
"ZENNOVA",NA
"INTRA SANA LABS","72060"
"AJENAT PHARMS","82983"
"REDDYS","43598"
"REGCON HOLDINGS",NA
"OTSUKA ICU MEDCL","59148"
"INSYS THERAP",NA
"CYPRESS PHARM","60258"
"FRESENIUS KABI ONCOL","18124"
"HALOCARBON PRODS","12164"
"NOSTRUM LABS INC","29033"
"P AND L",NA
"ADARE PHARMS INC","59917"
"RENATA",NA
"WEST WARD PHARMS","54832"
"MANKIND PHARMA",NA
"MLV",NA
"SYNTHON BV","63672"
"HOSPIRA WORLDWIDE","00409"
"VIWIT PHARM",NA
"APOZEAL PHARMS","83745"
"ALEMBIC","15955"
"ALEMBIC PHARMS LTD","15955"
"ALKEM",NA
"MARKSANS PHARMA","25000"
"AVET LIFESCIENCES",NA
"GLENMARK SPECLT","68462"
"GLAND","68083"
"MEDICAP LABS",NA
"ADAPTIS",NA
"NORVIUM BIOSCIENCE",NA
"SIGMAPHARM LABS LLC","42794"
"INDICUS PHARMA",NA
"ALEMBIC LTD","15955"
"UNICHEM LABS LTD","29300"
"TORRENT PHARMS LLC","13668"
"TORRENT PHARMS LTD","13668"
"TORRENT","13668"
"HISUN PHARM HANGZHOU","42658"
"NOVEL LABS INC","40032"
"PHARMOBEDIENT CNSLTG",NA
"VALEANT PHARMS NORTH",NA
"POINTVIEW HLDINGS",NA
"SQUARE PHARMS","76483"
"BAJAJ","61037"
"VELZEN PHARMA PVT",NA
"MACLEODS PHARMS LTD","33342"
"MYLAN ASI","00378"
"GLENMARK PHARMS","68462"
"CARACO",NA
"ANTIBIOTICE",NA
"BARR LABS DIV TEVA",NA
"SANOCHEMIA CORP USA",NA
"SENORES PHARMS","82012"
"ANNORA PHARMA","71785"
"CYPRESS PHARM INC","60258"
"FRESENIUS KABI","18124"
"NOVAST LABS LTD","34908"
"ASTRAL",NA
"ETHYPHARM",NA
"HAMELN RDS GMBH","70651"
"RK PHARMA",NA
"HENGRUI PHARMA",NA
"PPI-DAC",NA
"ZYDUS HLTHCARE","49315"
"CHINA RESOURCES","58503"
"JUBILANT GENERICS","45548"
"PANACEA","43817"
"LOTUS PHARM CO LTD","76328"
"GENERA PHARMS",NA
"ZAMBON SPA",NA
"TEVA PHARMS USA INC","00093"
"AGILA SPECLTS",NA
"JIANGSU HANSOH PHARM","57884"
"TAMARANG",NA
"MOUNTAIN","60568"
"GATE PHARMS",NA
"KRKA TOVARNA ZDRAVIL",NA
"TWI PHARMS INC",NA
"XELLIA PHARMS APS","70594"
"MISSION PHARMA","00178"
"ZHEJIANG JINGXIN","41366"
"CSPC OUYI PHARM CO","24075"
"SUVEN PHARMS","68022"
"CADILA PHARMS LTD","71209"
"CASI PHARMS INC",NA
"NEOS THERAPS INC","62542"
"ACTAVIS GRP PTC","00228"
"BIOMARIN","68135"
"SHIRE",NA
"HOFFMAN-LA ROCHE",NA
"ALEXION PHARM","25682"
"CENTOCOR ORTHO BIOTECH INC",NA
"IPSEN BIOPHARM LTD","15054"
"DYAX CORP.",NA
"HORIZON PHARMA","74683"
"SICOR BIOTECH",NA
"NOVARTIS PHARMS","00078"
"AUXILIUM PHARMS",NA
"HUMAN GENOME SCIENCES INC.","71356"
"SEATTLE GENETICS","72740"
"CHIESI FARMACEUTICI SPA","10122"
"THROMBOGENICS, INC",NA
"BIOGEN IDEC INC","59627"
"NOVARTIS PHARMS CORP","00078"
"NPS PHARMS INC",NA
"CELLTRION INC","72606"
"HLTHCARE",NA
"ZHEJIANG","41366"
"ELITE LABS","64850"
"NAARI PTE","79929"
"SOFGEN PHARMS",NA
"ARISE",NA
"YILING","69117"
"EXELA HOLDINGS","51754"
"SUNOVION PHARMS INC",NA
"HESP",NA
"FOUGERA PHARMS INC","00168"
"LEADIANT BIOSCI INC","54482"
"EUGIA PHARMA","55150"
"EMCURE PHARMS LTD","14593"
"ACTAVIS GROUP","00228"
"BOSTAL",NA
"ARTHUR GRP","84679"
"AJANTA PHARMA LTD","27241"
"GRACEWAY",NA
"COASTAL PHARMS","42523"
"HOPE PHARMS","60267"
"ARROW INTL",NA
"PHARMADAX INC",NA
"SUPERNUS PHARMS","17772"
"ACERUS PHARMS","42667"
"ALKALOIDA ZRT",NA
"CUBIST PHARMS LLC",NA
"HANSAMED INC",NA
"VERTEX PHARMS","51167"
"JOURNEY","69489"
"MICRO LABS LTD INDIA","42571"
"INVENTIA","49252"
"AVID RADIOPHARMS INC",NA
"CREEKWOOD PHARMS","82619"
"AMARIN PHARMS","52937"
"HEC PHARM","43136"
"SOLIS PHARMS","85185"
"SHREE HARI INTL",NA
"CITIUS PHARMS","52658"
"KINDEVA",NA
"CORCEPT THERAP","76346"
"MYLAN SPECIALITY LP","00378"
"NAPO PHARMS INC","70564"
"HELSINN","69639"
"PFIZER LABS","00013"
"FERA PHARMS LLC","48102"
"SHANDONG XINHUA","35369"
"HOFFMANN LA ROCHE",NA
"HETERO LABS LTD V","68554"
"ACROTECH","72893"
"ROUSES POINT PHARMS",NA
