firm,ndc_firm_id
"Zevra Therapeutics, Inc.",70040
"Shandong New Time Pharmaceutical Co., Ltd.",42677
FIDELITY BIOPHARMA CO.,82919
Triumph Pharmaceuticals Inc.,76357
"NANJING DELOVA BIOTECH CO., LTD.",82972
"Agile Therapeutics, Inc.",71671
"Onyx Pharmaceuticals, Inc.",76075
"Tonix Medicines, Inc.",70792
"Pinnacle Biologics, Inc.",76128
"XIAMEN LP PHARMACEUTICAL CO., LTD.",71034
"Noxy Health Products, Inc.",83823
CODEX LABS CORPORATION,83196
PAGARI LIFE SCIENCE CORP,83609
Skinfix Inc.,61328
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",57884
"Merz North America, Inc.",46783
Amryt Pharmaceuticals Designated Activity Company,69880
"Orient Pharma Co., Ltd.",76333
"Braintree Laboratories, Inc.",52268
Kenvue Brands LLC,16837
"Spoke Sciences, Inc.",85316
Curium US LLC,69945
Boehringer Ingelheim GmbH,00597
Leo Corporation,50222
"Alcon Laboratories, Inc.",00065
"UCB, Inc.",00131
Unimed Corporation,73669
Pierre Fabre S.A.,64370
"Allergan Pharmaceuticals, Inc.",00023
Merz + Co. GmbH & Co.,00259
"UCB Pharmaceuticals, Inc.",00131
"S. C. JOHNSON & SON, INC.",59397
"Lacer, S.A.",73159
Biotest Pharma GmbH,83372
Leo Pharmaceuticals,50222
Sandoz Pharmaceuticals Corporation,00185
Progenics Corporation,71258
"AIR PRODUCTS AND CHEMICALS, INC.",10018
UCB S.A.,00131
"E-Z-EM, INC.",10361
ESTEE LAUDER INC.,11559
"Incyte Pharmaceuticals, Inc.",50881
ECOLAB INC.,47593
Digestive Care Inc.,59767
"Agouron Pharmaceuticals, Inc.",63010
Jefferson Labs,51072
UNIVERSITY OF ALABAMA AT BIRMINGHAM,69714
Pharmacia & Upjohn S.p.A.,00009
Pharmacia & Upjohn Company LLC,00009
Baxter Healthcare Inc.,00338
Parfums Christian Dior,61957
L. PERRIGO COMPANY,00113
Kimberly-Clark Inc.,55118
THERATECHNOLOGIES INC.,62064
Amway Corp.,50390
STERIS Corporation,00519
Dendreon Corporation,30237
"THERAKOS, INC.",64067
"Pharmascience, Inc.",51817
"Ion Pharmaceuticals, Inc.",82944
Rexall Sundown,59118
Neurotech S.A.,82958
COMBE INCORPORATED,11509
"Exelixis Pharmaceuticals, Inc.",42388
